t,m_dot,Pp,N,alpha
0.0,0.08008894456604576,23.80827126587519,0,0.0
0.1,-0.011967781373718012,-15.210176961129036,0,0.0
0.2,-0.05117487463122394,-11.215083281495936,0,0.0
0.30000000000000004,0.008963781747634236,-0.4449558967589837,0,0.0
0.4,0.010999834198361036,-31.25768690660243,0,0.0
0.5,0.06795937876174829,4.575400578742119,0,0.0
0.6000000000000001,0.041755562295409554,19.349325458632848,0,0.0
0.7000000000000001,0.017843552957109488,5.858676470047612,0,0.0
0.8,0.07316514456057188,-31.777951283495895,0,0.0
0.9,-0.059438152716587034,-2.476185886535859,0,0.0
1.0,-0.03198570793773481,13.301593863080598,4000,0.30000000000000004
1.1,0.15963512362201726,-1176.6388715519233,4000,0.30000000000000004
1.2000000000000002,0.3917814679071867,-1122.1213149986297,4000,0.30000000000000004
1.3,0.5447443324562418,-1044.0151201544022,4000,0.30000000000000004
1.4000000000000001,0.843779981069587,-1016.3657741566176,4000,0.30000000000000004
1.5,0.9956837493900172,-973.2911903083796,4000,0.30000000000000004
1.6,1.1245170141828247,-903.5330518474739,4000,0.30000000000000004
1.7000000000000002,1.3350308136574967,-889.9736054175182,4000,0.30000000000000004
1.8,1.5840575394705585,-845.0662362305538,4000,0.30000000000000004
1.9000000000000001,1.7884407238404219,-762.7687912836709,4000,0.30000000000000004
2.0,2.0201930739259035,-779.8556803554302,4000,0.30000000000000004
2.1,2.235019022519362,-750.3008351764056,4000,0.30000000000000004
2.2,2.273544877206617,-685.1108373201841,4000,0.30000000000000004
2.3000000000000003,2.3614806533569457,-644.7035596963588,4000,0.30000000000000004
2.4000000000000004,2.4569340455107795,-624.4606009327008,4000,0.30000000000000004
2.5,2.724094905109512,-595.7795571632223,4000,0.30000000000000004
2.6,2.8116801891962933,-491.0329040423276,4000,0.30000000000000004
2.7,2.967606077839486,-493.6075333225499,4000,0.30000000000000004
2.8000000000000003,3.088182470583236,-478.6203862380271,4000,0.30000000000000004
2.9000000000000004,3.2365210394513078,-410.46923561611493,4000,0.30000000000000004
3.0,3.4159271324915537,-354.1435074455585,0,0.0
3.1,3.047443803074053,2403.9762505673425,0,0.0
3.2,2.7300290718802636,2132.3225228036536,0,0.0
3.3000000000000003,2.4194695016229266,1849.1939218581283,0,0.0
3.4000000000000004,2.1505253749053326,1670.9291521402047,0,0.0
3.5,2.0000414425930693,1521.105060226887,0,0.0
3.6,1.8348978817352064,1335.2967168804962,0,0.0
3.7,1.760026073410934,1182.7704497634686,0,0.0
3.8000000000000003,1.5299864140483637,1061.3187331726267,0,0.0
3.9000000000000004,1.4486286410946878,964.672168999843,0,0.0
4.0,1.289684591369201,900.1942361566562,4000,0.0
4.1000000000000005,1.1970135768520773,851.7196568794143,4000,0.0
4.2,1.1657061680714236,845.9831723151974,4000,0.0
4.3,1.1446654062738535,768.7544942640998,4000,0.0
4.4,1.2563192155610405,797.5552608848757,4000,0.0
4.5,1.0809324596948526,751.9925600762635,4000,0.0
4.6000000000000005,1.135041952659809,745.3064768240974,4000,0.0
4.7,1.0215273985225553,695.6331215267219,4000,0.0
4.800000000000001,1.08746962719073,725.8751791000495,4000,0.0
4.9,1.036619860763981,707.0076895062557,4000,0.0
5.0,0.988188773376554,681.1483061219951,4000,0.30000000000000004
5.1000000000000005,1.1814237226717514,-974.0008117092302,4000,0.30000000000000004
5.2,1.3340377319606729,-886.4151766419718,4000,0.30000000000000004
5.300000000000001,1.5723959945598667,-854.1923781805108,4000,0.30000000000000004
5.4,1.7035974474774829,-853.719920770307,4000,0.30000000000000004
5.5,1.836661397767319,-781.4473226555592,4000,0.30000000000000004
5.6000000000000005,2.001021793871109,-733.4152561973642,4000,0.30000000000000004
5.7,2.235883648637813,-689.5073941313203,4000,0.30000000000000004
5.800000000000001,2.463901883665672,-657.1746149001674,4000,0.30000000000000004
5.9,2.5459974575460897,-615.1541455351653,4000,0.30000000000000004
6.0,2.6802489837738204,-548.6308831065971,0,0.0
6.1000000000000005,2.4595849875789977,1876.4733566057039,0,0.0
6.2,2.2807118409377143,1590.0047877601264,0,0.0
6.300000000000001,2.0223649893779863,1465.1092187515915,0,0.0
6.4,1.8070817283712177,1314.3437512544415,0,0.0
6.5,1.717826849087392,1147.5221208786497,0,0.0
6.6000000000000005,1.536245747704525,1066.5101067897185,0,0.0
6.7,1.458873220307189,985.509413179615,0,0.0
6.800000000000001,1.2720599605908784,846.9545314093893,0,0.0
6.9,1.0942552277638429,793.9354656108535,0,0.0
7.0,0.9899367325983812,645.5598561603929,4000,0.30000000000000004
7.1000000000000005,1.327413477468383,-943.8480403661424,4000,0.30000000000000004
